initial_alias,converted_alias,name,description,namespace
4478,MSN,MSN,moesin [Source:HGNC Symbol;Acc:HGNC:7373],ENTREZGENE_ACC
83873,GPR61,GPR61,G protein-coupled receptor 61 [Source:HGNC Symbol;Acc:HGNC:13300],ENTREZGENE_ACC
54511,HMGCLL1,HMGCLL1,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1 [Source:HGNC Symbol;Acc:HGNC:21359],ENTREZGENE_ACC
140597,TCEAL2,TCEAL2,transcription elongation factor A like 2 [Source:HGNC Symbol;Acc:HGNC:29818],ENTREZGENE_ACC
29923,HILPDA,HILPDA,hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859],ENTREZGENE_ACC
1456,CSNK1G3,CSNK1G3,casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456],ENTREZGENE_ACC
51100,SH3GLB1,SH3GLB1,"SH3 domain containing GRB2 like, endophilin B1 [Source:HGNC Symbol;Acc:HGNC:10833]",ENTREZGENE_ACC
100506731,FLRT2-AS1,FLRT2-AS1,FLRT2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55912],ENTREZGENE_ACC
51259,TMEM216,TMEM216,transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018],ENTREZGENE_ACC
7299,TYR,TYR,tyrosinase [Source:HGNC Symbol;Acc:HGNC:12442],ENTREZGENE_ACC
100506459,None,None,None,
55215,FANCI,FANCI,FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568],ENTREZGENE_ACC
663,BNIP2,BNIP2,BCL2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1083],ENTREZGENE_ACC
23285,None,None,None,
84078,KBTBD7,KBTBD7,kelch repeat and BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:25266],ENTREZGENE_ACC
2077,ERF,ERF,ETS2 repressor factor [Source:HGNC Symbol;Acc:HGNC:3444],ENTREZGENE_ACC
6247,RS1,RS1,retinoschisin 1 [Source:HGNC Symbol;Acc:HGNC:10457],ENTREZGENE_ACC
27254,CSDC2,CSDC2,cold shock domain containing C2 [Source:HGNC Symbol;Acc:HGNC:30359],ENTREZGENE_ACC
5862,RAB2A,RAB2A,"RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]",ENTREZGENE_ACC
85409,NKD2,NKD2,NKD inhibitor of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:17046],ENTREZGENE_ACC
790952,ESRG,ESRG,embryonic stem cell related [Source:HGNC Symbol;Acc:HGNC:39079],ENTREZGENE_ACC
1413,CRYBA4,CRYBA4,crystallin beta A4 [Source:HGNC Symbol;Acc:HGNC:2396],ENTREZGENE_ACC
7534,YWHAZ,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855],ENTREZGENE_ACC
10095,ARPC1B,ARPC1B,actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704],ENTREZGENE_ACC
15,AANAT,AANAT,aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19],ENTREZGENE_ACC
80255,SLC35F5,SLC35F5,solute carrier family 35 member F5 [Source:HGNC Symbol;Acc:HGNC:23617],ENTREZGENE_ACC
10389,SCML2,SCML2,Scm polycomb group protein like 2 [Source:HGNC Symbol;Acc:HGNC:10581],ENTREZGENE_ACC
8125,ANP32A,ANP32A,acidic nuclear phosphoprotein 32 family member A [Source:HGNC Symbol;Acc:HGNC:13233],ENTREZGENE_ACC
100507254,None,None,None,
29018,FOXN3-AS2,FOXN3-AS2,FOXN3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:30119],ENTREZGENE_ACC
6360,CCL16,CCL16,C-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:10614],ENTREZGENE_ACC
286451,YIPF6,YIPF6,Yip1 domain family member 6 [Source:HGNC Symbol;Acc:HGNC:28304],ENTREZGENE_ACC
85290,KRTAP4-3,KRTAP4-3,keratin associated protein 4-3 [Source:HGNC Symbol;Acc:HGNC:18908],ENTREZGENE_ACC
441150,C6orf226,C6orf226,chromosome 6 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34431],ENTREZGENE_ACC
139538,VENTXP1,VENTXP1,VENT homeobox pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30900],ENTREZGENE_ACC
59271,EVA1C,EVA1C,eva-1 homolog C [Source:HGNC Symbol;Acc:HGNC:13239],ENTREZGENE_ACC
4600,MX2,MX2,MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533],ENTREZGENE_ACC
60343,FAM3A,FAM3A,FAM3 metabolism regulating signaling molecule A [Source:HGNC Symbol;Acc:HGNC:13749],ENTREZGENE_ACC
27244,SESN1,SESN1,sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595],ENTREZGENE_ACC
85025,TMEM60,TMEM60,transmembrane protein 60 [Source:HGNC Symbol;Acc:HGNC:21754],ENTREZGENE_ACC
93587,TRMT10A,TRMT10A,tRNA methyltransferase 10A [Source:HGNC Symbol;Acc:HGNC:28403],ENTREZGENE_ACC
29937,NENF,NENF,neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384],ENTREZGENE_ACC
57578,UNC79,UNC79,"unc-79 homolog, NALCN channel complex subunit [Source:HGNC Symbol;Acc:HGNC:19966]",ENTREZGENE_ACC
374946,DRAXIN,DRAXIN,dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054],ENTREZGENE_ACC
10991,SLC38A3,SLC38A3,solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044],ENTREZGENE_ACC
3566,IL4R,IL4R,interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015],ENTREZGENE_ACC
4160,MC4R,MC4R,melanocortin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6932],ENTREZGENE_ACC
552889,ATXN7L3B,ATXN7L3B,ataxin 7 like 3B [Source:HGNC Symbol;Acc:HGNC:37931],ENTREZGENE_ACC
7733,ZNF180,ZNF180,zinc finger protein 180 [Source:HGNC Symbol;Acc:HGNC:12970],ENTREZGENE_ACC
4361,MRE11,MRE11,"MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]",ENTREZGENE_ACC
6954,TCP11,TCP11,t-complex 11 [Source:HGNC Symbol;Acc:HGNC:11658],ENTREZGENE_ACC
83742,MARVELD1,MARVELD1,MARVEL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28674],ENTREZGENE_ACC
100506413,DOCK4-AS1,DOCK4-AS1,DOCK4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40876],ENTREZGENE_ACC
54758,KLHDC4,KLHDC4,kelch domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25272],ENTREZGENE_ACC
219681,ARMC3,ARMC3,armadillo repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:30964],ENTREZGENE_ACC
2040,STOM,STOM,stomatin [Source:HGNC Symbol;Acc:HGNC:3383],ENTREZGENE_ACC
1802,DPH2,DPH2,diphthamide biosynthesis 2 [Source:HGNC Symbol;Acc:HGNC:3004],ENTREZGENE_ACC
6595,SMARCA2,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]",ENTREZGENE_ACC
7469,NELFA,NELFA,negative elongation factor complex member A [Source:HGNC Symbol;Acc:HGNC:12768],ENTREZGENE_ACC
7643,ZNF90,ZNF90,zinc finger protein 90 [Source:HGNC Symbol;Acc:HGNC:13165],ENTREZGENE_ACC
1474,CST6,CST6,cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478],ENTREZGENE_ACC
100131496,LOC100131496,None,"novel transcript, antisense to ZMYND8",ENTREZGENE_ACC
100506577,None,None,None,
401152,C4orf3,C4orf3,chromosome 4 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:19225],ENTREZGENE_ACC
55646,LYAR,LYAR,Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021],ENTREZGENE_ACC
729799,None,None,None,
64902,AGXT2,AGXT2,alanine--glyoxylate aminotransferase 2 [Source:HGNC Symbol;Acc:HGNC:14412],ENTREZGENE_ACC
50940,PDE11A,PDE11A,phosphodiesterase 11A [Source:HGNC Symbol;Acc:HGNC:8773],ENTREZGENE_ACC
4703,NEB,NEB,nebulin [Source:HGNC Symbol;Acc:HGNC:7720],ENTREZGENE_ACC
100131814,AHI1-DT,AHI1-DT,AHI1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:32526],ENTREZGENE_ACC
83648,FAM167A,FAM167A,family with sequence similarity 167 member A [Source:HGNC Symbol;Acc:HGNC:15549],ENTREZGENE_ACC
400891,LRRC74B,LRRC74B,leucine rich repeat containing 74B [Source:HGNC Symbol;Acc:HGNC:34301],ENTREZGENE_ACC
284186,TMEM105,TMEM105,TMEM105 long non-coding RNA [Source:HGNC Symbol;Acc:HGNC:26794],ENTREZGENE_ACC
3915,LAMC1,LAMC1,laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492],ENTREZGENE_ACC
4542,MYO1F,MYO1F,myosin IF [Source:HGNC Symbol;Acc:HGNC:7600],ENTREZGENE_ACC
5858,PZP,PZP,PZP alpha-2-macroglobulin like [Source:HGNC Symbol;Acc:HGNC:9750],ENTREZGENE_ACC
6498,SKIL,SKIL,SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897],ENTREZGENE_ACC
84002,B3GNT5,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]",ENTREZGENE_ACC
114625,ERMAP,ERMAP,erythroblast membrane associated protein (Scianna blood group) [Source:HGNC Symbol;Acc:HGNC:15743],ENTREZGENE_ACC
728052,None,None,None,
256006,ANKRD31,ANKRD31,ankyrin repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:26853],ENTREZGENE_ACC
286442,LINC01281,LINC01281,long intergenic non-protein coding RNA 1281 [Source:HGNC Symbol;Acc:HGNC:50337],ENTREZGENE_ACC
1959,EGR2,EGR2,early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239],ENTREZGENE_ACC
25956,SEC31B,SEC31B,"SEC31 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:23197]",ENTREZGENE_ACC
100507235,None,None,None,
57614,RELCH,RELCH,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing [Source:HGNC Symbol;Acc:HGNC:29289]",ENTREZGENE_ACC
90864,SPSB3,SPSB3,splA/ryanodine receptor domain and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:30629],ENTREZGENE_ACC
6370,CCL25,CCL25,C-C motif chemokine ligand 25 [Source:HGNC Symbol;Acc:HGNC:10624],ENTREZGENE_ACC
6426,SRSF1,SRSF1,serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780],ENTREZGENE_ACC
83443,SF3B5,SF3B5,splicing factor 3b subunit 5 [Source:HGNC Symbol;Acc:HGNC:21083],ENTREZGENE_ACC
2849,GPR26,GPR26,G protein-coupled receptor 26 [Source:HGNC Symbol;Acc:HGNC:4481],ENTREZGENE_ACC
55664,CDC37L1,CDC37L1,"cell division cycle 37 like 1, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:17179]",ENTREZGENE_ACC
53616,ADAM22,ADAM22,ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201],ENTREZGENE_ACC
121506,ERP27,ERP27,endoplasmic reticulum protein 27 [Source:HGNC Symbol;Acc:HGNC:26495],ENTREZGENE_ACC
56146,PCDHA2,PCDHA2,protocadherin alpha 2 [Source:HGNC Symbol;Acc:HGNC:8668],ENTREZGENE_ACC
2208,FCER2,FCER2,Fc epsilon receptor II [Source:HGNC Symbol;Acc:HGNC:3612],ENTREZGENE_ACC
25934,NIPSNAP3A,NIPSNAP3A,nipsnap homolog 3A [Source:HGNC Symbol;Acc:HGNC:23619],ENTREZGENE_ACC
6891,TAP2,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",ENTREZGENE_ACC
51379,CRLF3,CRLF3,cytokine receptor like factor 3 [Source:HGNC Symbol;Acc:HGNC:17177],ENTREZGENE_ACC
3804,KIR2DL3,KIR2DL3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]",ENTREZGENE_ACC
128272,ARHGEF19,ARHGEF19,Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604],ENTREZGENE_ACC
148696,None,None,None,
326624,RAB37,RAB37,"RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30268]",ENTREZGENE_ACC
25915,NDUFAF3,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918],ENTREZGENE_ACC
80274,SCUBE1,SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13441]",ENTREZGENE_ACC
25786,DGCR11,DGCR11,DiGeorge syndrome critical region gene 11 [Source:HGNC Symbol;Acc:HGNC:17226],ENTREZGENE_ACC
1146,CHRNG,CHRNG,cholinergic receptor nicotinic gamma subunit [Source:HGNC Symbol;Acc:HGNC:1967],ENTREZGENE_ACC
10622,POLR3G,POLR3G,RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075],ENTREZGENE_ACC
25816,TNFAIP8,TNFAIP8,TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260],ENTREZGENE_ACC
131034,CPNE4,CPNE4,copine 4 [Source:HGNC Symbol;Acc:HGNC:2317],ENTREZGENE_ACC
2186,BPTF,BPTF,bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:HGNC:3581],ENTREZGENE_ACC
6567,SLC16A2,SLC16A2,solute carrier family 16 member 2 [Source:HGNC Symbol;Acc:HGNC:10923],ENTREZGENE_ACC
80311,KLHL15,KLHL15,kelch like family member 15 [Source:HGNC Symbol;Acc:HGNC:29347],ENTREZGENE_ACC
59082,CARD18,CARD18,caspase recruitment domain family member 18 [Source:HGNC Symbol;Acc:HGNC:28861],ENTREZGENE_ACC
203228,C9orf72,C9orf72,C9orf72-SMCR8 complex subunit [Source:HGNC Symbol;Acc:HGNC:28337],ENTREZGENE_ACC
4901,NRL,NRL,neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002],ENTREZGENE_ACC
6693,SPN,SPN,sialophorin [Source:HGNC Symbol;Acc:HGNC:11249],ENTREZGENE_ACC
55556,ENOSF1,ENOSF1,enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365],ENTREZGENE_ACC
26205,GMEB2,GMEB2,glucocorticoid modulatory element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4371],ENTREZGENE_ACC
255082,CASC2,CASC2,cancer susceptibility 2 [Source:HGNC Symbol;Acc:HGNC:22933],ENTREZGENE_ACC
285521,COX18,COX18,cytochrome c oxidase assembly factor COX18 [Source:HGNC Symbol;Acc:HGNC:26801],ENTREZGENE_ACC
65123,INTS3,INTS3,integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153],ENTREZGENE_ACC
144406,CFAP251,CFAP251,cilia and flagella associated protein 251 [Source:HGNC Symbol;Acc:HGNC:28506],ENTREZGENE_ACC
283152,CCDC153,CCDC153,coiled-coil domain containing 153 [Source:HGNC Symbol;Acc:HGNC:27446],ENTREZGENE_ACC
998,CDC42,CDC42,cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736],ENTREZGENE_ACC
89970,RSPRY1,RSPRY1,ring finger and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29420],ENTREZGENE_ACC
150709,ANKAR,ANKAR,ankyrin and armadillo repeat containing [Source:HGNC Symbol;Acc:HGNC:26350],ENTREZGENE_ACC
5886,RAD23A,RAD23A,"RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]",ENTREZGENE_ACC
55613,MTMR8,MTMR8,myotubularin related protein 8 [Source:HGNC Symbol;Acc:HGNC:16825],ENTREZGENE_ACC
646214,None,None,None,
286083,LOC286083,None,novel transcript,ENTREZGENE_ACC
1060,CENPC,CENPC,centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854],ENTREZGENE_ACC
395,ARHGAP6,ARHGAP6,Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676],ENTREZGENE_ACC
91647,ATPAF2,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:18802],ENTREZGENE_ACC
51750,RTEL1,RTEL1,regulator of telomere elongation helicase 1 [Source:HGNC Symbol;Acc:HGNC:15888],ENTREZGENE_ACC
55333,SYNJ2BP,SYNJ2BP,synaptojanin 2 binding protein [Source:HGNC Symbol;Acc:HGNC:18955],ENTREZGENE_ACC
100506054,RNASEH1-DT,RNASEH1-DT,RNASEH1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:49289],ENTREZGENE_ACC
429,ASCL1,ASCL1,achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738],ENTREZGENE_ACC
56945,MRPS22,MRPS22,mitochondrial ribosomal protein S22 [Source:HGNC Symbol;Acc:HGNC:14508],ENTREZGENE_ACC
84172,POLR1B,POLR1B,RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454],ENTREZGENE_ACC
100652917,None,None,None,
29044,None,None,None,
53827,FXYD5,FXYD5,FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029],ENTREZGENE_ACC
49860,CRNN,CRNN,cornulin [Source:HGNC Symbol;Acc:HGNC:1230],ENTREZGENE_ACC
528,ATP6V1C1,ATP6V1C1,ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856],ENTREZGENE_ACC
56886,UGGT1,UGGT1,UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663],ENTREZGENE_ACC
23529,CLCF1,CLCF1,cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412],ENTREZGENE_ACC
100506492,DSCAM-AS1,DSCAM-AS1,DSCAM antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40197],ENTREZGENE_ACC
27071,DAPP1,DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500],ENTREZGENE_ACC
3832,KIF11,KIF11,kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388],ENTREZGENE_ACC
92345,NAF1,NAF1,nuclear assembly factor 1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:25126],ENTREZGENE_ACC
22901,ARSG,ARSG,arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102],ENTREZGENE_ACC
4751,NEK2,NEK2,NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745],ENTREZGENE_ACC
5636,PRPSAP2,PRPSAP2,phosphoribosyl pyrophosphate synthetase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:9467],ENTREZGENE_ACC
79018,GID4,GID4,GID complex subunit 4 homolog [Source:HGNC Symbol;Acc:HGNC:28453],ENTREZGENE_ACC
11005,SPINK5,SPINK5,serine peptidase inhibitor Kazal type 5 [Source:HGNC Symbol;Acc:HGNC:15464],ENTREZGENE_ACC
23173,METAP1,METAP1,methionyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:15789],ENTREZGENE_ACC
2359,FPR3,FPR3,formyl peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:3828],ENTREZGENE_ACC
4149,MAX,MAX,MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913],ENTREZGENE_ACC
122509,IFI27L1,IFI27L1,interferon alpha inducible protein 27 like 1 [Source:HGNC Symbol;Acc:HGNC:19754],ENTREZGENE_ACC
84930,MASTL,MASTL,microtubule associated serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:19042],ENTREZGENE_ACC
8796,SCEL,SCEL,sciellin [Source:HGNC Symbol;Acc:HGNC:10573],ENTREZGENE_ACC
390063,OR51I1,OR51I1,olfactory receptor family 51 subfamily I member 1 [Source:HGNC Symbol;Acc:HGNC:15200],ENTREZGENE_ACC
414260,None,None,None,
134701,RIPPLY2,RIPPLY2,ripply transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:21390],ENTREZGENE_ACC
338758,None,None,None,
646268,LINC01704,LINC01704,long intergenic non-protein coding RNA 1704 [Source:HGNC Symbol;Acc:HGNC:52492],ENTREZGENE_ACC
28452,None,None,None,
100287216,None,None,None,
132332,SMIM43,SMIM43,small integral membrane protein 43 [Source:HGNC Symbol;Acc:HGNC:55077],ENTREZGENE_ACC
79741,CCDC7,CCDC7,coiled-coil domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26533],ENTREZGENE_ACC
5730,PTGDS,PTGDS,prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592],ENTREZGENE_ACC
146880,None,None,None,
10048,RANBP9,RANBP9,RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727],ENTREZGENE_ACC
619207,SCART1,SCART1,scavenger receptor family member expressed on T cells 1 [Source:HGNC Symbol;Acc:HGNC:32411],ENTREZGENE_ACC
56163,RNF17,RNF17,ring finger protein 17 [Source:HGNC Symbol;Acc:HGNC:10060],ENTREZGENE_ACC
6528,SLC5A5,SLC5A5,solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040],ENTREZGENE_ACC
3361,HTR5A,HTR5A,5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300],ENTREZGENE_ACC
339366,ADAMTSL5,ADAMTSL5,ADAMTS like 5 [Source:HGNC Symbol;Acc:HGNC:27912],ENTREZGENE_ACC
339568,LINC01734,LINC01734,long intergenic non-protein coding RNA 1734 [Source:HGNC Symbol;Acc:HGNC:52522],ENTREZGENE_ACC
5209,PFKFB3,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]",ENTREZGENE_ACC
26045,LRRTM2,LRRTM2,leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409],ENTREZGENE_ACC
29843,SENP1,SENP1,SUMO specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:17927],ENTREZGENE_ACC
10134,BCAP31,BCAP31,B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695],ENTREZGENE_ACC
51316,PLAC8,PLAC8,placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254],ENTREZGENE_ACC
203197,TMEM268,TMEM268,transmembrane protein 268 [Source:HGNC Symbol;Acc:HGNC:24513],ENTREZGENE_ACC
8642,DCHS1,DCHS1,dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681],ENTREZGENE_ACC
5733,PTGER3,PTGER3,prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595],ENTREZGENE_ACC
677779,LINC00488,LINC00488,long intergenic non-protein coding RNA 488 [Source:HGNC Symbol;Acc:HGNC:32675],ENTREZGENE_ACC
285556,C4orf54,C4orf54,chromosome 4 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:27741],ENTREZGENE_ACC
670,BPHL,BPHL,biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094],ENTREZGENE_ACC
4172,MCM3,MCM3,minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945],ENTREZGENE_ACC
286,ANK1,ANK1,ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492],ENTREZGENE_ACC
22916,NCBP2,NCBP2,nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659],ENTREZGENE_ACC
55632,G2E3,G2E3,G2/M-phase specific E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:20338],ENTREZGENE_ACC
100652838,None,None,None,
154872,None,None,None,
23286,WWC1,WWC1,WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435],ENTREZGENE_ACC
1258,CNGB1,CNGB1,cyclic nucleotide gated channel subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2151],ENTREZGENE_ACC
161424,NOP9,NOP9,NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826],ENTREZGENE_ACC
58483,LINC00474,LINC00474,long intergenic non-protein coding RNA 474 [Source:HGNC Symbol;Acc:HGNC:23367],ENTREZGENE_ACC
51107,APH1A,APH1A,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]",ENTREZGENE_ACC
662,BNIP1,BNIP1,BCL2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1082],ENTREZGENE_ACC
51319,RSRC1,RSRC1,arginine and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24152],ENTREZGENE_ACC
352999,C6orf58,C6orf58,chromosome 6 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:20960],ENTREZGENE_ACC
130026,ICA1L,ICA1L,islet cell autoantigen 1 like [Source:HGNC Symbol;Acc:HGNC:14442],ENTREZGENE_ACC
10913,EDAR,EDAR,ectodysplasin A receptor [Source:HGNC Symbol;Acc:HGNC:2895],ENTREZGENE_ACC
84134,TOMM40L,TOMM40L,translocase of outer mitochondrial membrane 40 like [Source:HGNC Symbol;Acc:HGNC:25756],ENTREZGENE_ACC
113,ADCY7,ADCY7,adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238],ENTREZGENE_ACC
116412,ZNF837,ZNF837,zinc finger protein 837 [Source:HGNC Symbol;Acc:HGNC:25164],ENTREZGENE_ACC
29960,MRM2,MRM2,mitochondrial rRNA methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16352],ENTREZGENE_ACC
26585,GREM1,GREM1,"gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]",ENTREZGENE_ACC
148137,PROSER3,PROSER3,proline and serine rich 3 [Source:HGNC Symbol;Acc:HGNC:25204],ENTREZGENE_ACC
116379,IL22RA2,IL22RA2,interleukin 22 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:14901],ENTREZGENE_ACC
150290,DUSP18,DUSP18,dual specificity phosphatase 18 [Source:HGNC Symbol;Acc:HGNC:18484],ENTREZGENE_ACC
2671,GFER,GFER,"growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]",ENTREZGENE_ACC
414236,C10orf55,C10orf55,chromosome 10 putative open reading frame 55 [Source:HGNC Symbol;Acc:HGNC:31008],ENTREZGENE_ACC
8345,H2BC9,H2BC9,H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755],ENTREZGENE_ACC
54800,KLHL24,KLHL24,kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947],ENTREZGENE_ACC
100288198,HMGN3-AS1,HMGN3-AS1,HMGN3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48984],ENTREZGENE_ACC
3801,KIFC3,KIFC3,kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326],ENTREZGENE_ACC
5526,PPP2R5B,PPP2R5B,protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310],ENTREZGENE_ACC
